date,username,reason,type
2025-04-01,carmen.sanchezs,Home Office,otro
2025-05-02,carmen.sanchezs,Home Office,otro
2025-04-03,carmen.sanchezs,Home Office,otro
2025-06-03,carmen.sanchezs,Home Office,otro
2025-03-04,carmen.sanchezs,Home Office,otro
2025-04-04,carmen.sanchezs,Home Office,otro
2025-06-05,carmen.sanchezs,Home Office,otro
2025-02-06,carmen.sanchezs,Home Office,otro
2025-03-06,carmen.sanchezs,Home Office,otro
2025-05-06,carmen.sanchezs,Home Office,otro
2025-06-06,carmen.sanchezs,Home Office,otro
2025-02-07,carmen.sanchezs,Home Office,otro
2025-03-07,carmen.sanchezs,Home Office,otro
2025-04-08,carmen.sanchezs,Home Office,otro
2025-05-08,carmen.sanchezs,Home Office,otro
2025-05-09,carmen.sanchezs,Home Office,otro
2025-04-10,carmen.sanchezs,Home Office,otro
2025-06-10,carmen.sanchezs,Home Office,otro
2025-02-11,carmen.sanchezs,Home Office,otro
2025-03-11,carmen.sanchezs,Home Office,otro
2025-04-11,carmen.sanchezs,Home Office,otro
2025-06-12,carmen.sanchezs,Home Office,otro
2025-02-13,carmen.sanchezs,Home Office,otro
2025-03-13,carmen.sanchezs,Home Office,otro
2025-06-13,carmen.sanchezs,Home Office,otro
2025-02-14,carmen.sanchezs,Home Office,otro
2025-03-14,carmen.sanchezs,Home Office,otro
2025-05-15,carmen.sanchezs,Home Office,otro
2025-01-16,carmen.sanchezs,Home Office,otro
2025-05-16,carmen.sanchezs,Home Office,otro
2025-01-17,carmen.sanchezs,Home Office,otro
2025-04-17,carmen.sanchezs,Home Office,otro
2025-04-18,carmen.sanchezs,Home Office,otro
2025-06-19,carmen.sanchezs,Home Office,otro
2025-02-20,carmen.sanchezs,Home Office,otro
2025-03-20,carmen.sanchezs,Home Office,otro
2025-06-20,carmen.sanchezs,Home Office,otro
2025-01-21,carmen.sanchezs,Home Office,otro
2025-02-21,carmen.sanchezs,Home Office,otro
2025-03-21,carmen.sanchezs,Home Office,otro
2025-04-22,carmen.sanchezs,Home Office,otro
2025-05-22,carmen.sanchezs,Home Office,otro
2025-01-23,carmen.sanchezs,Home Office,otro
2025-05-23,carmen.sanchezs,Home Office,otro
2025-01-24,carmen.sanchezs,Home Office,otro
2025-04-24,carmen.sanchezs,Home Office,otro
2025-06-24,carmen.sanchezs,Home Office,otro
2025-02-25,carmen.sanchezs,Home Office,otro
2025-03-25,carmen.sanchezs,Home Office,otro
2025-04-25,carmen.sanchezs,Home Office,otro
2025-06-26,carmen.sanchezs,Home Office,otro
2025-02-27,carmen.sanchezs,Home Office,otro
2025-03-27,carmen.sanchezs,Home Office,otro
2025-05-27,carmen.sanchezs,Home Office,otro
2025-06-27,carmen.sanchezs,Home Office,otro
2025-01-28,carmen.sanchezs,Home Office,otro
2025-02-28,carmen.sanchezs,Home Office,otro
2025-03-28,carmen.sanchezs,Home Office,otro
2025-04-29,carmen.sanchezs,Home Office,otro
2025-05-29,carmen.sanchezs,Home Office,otro
2025-01-30,carmen.sanchezs,Home Office,otro
2025-05-30,carmen.sanchezs,Home Office,otro
2025-01-31,carmen.sanchezs,Home Office,otro
2025-04-01,elizbeth.martinez,Home Office,otro
2025-05-02,elizbeth.martinez,Home Office,otro
2025-04-03,elizbeth.martinez,Home Office,otro
2025-06-03,elizbeth.martinez,Home Office,otro
2025-03-04,elizbeth.martinez,Home Office,otro
2025-04-04,elizbeth.martinez,Home Office,otro
2025-06-05,elizbeth.martinez,Home Office,otro
2025-02-06,elizbeth.martinez,Home Office,otro
2025-03-06,elizbeth.martinez,Home Office,otro
2025-05-06,elizbeth.martinez,Home Office,otro
2025-06-06,elizbeth.martinez,Home Office,otro
2025-02-07,elizbeth.martinez,Home Office,otro
2025-03-07,elizbeth.martinez,Home Office,otro
2025-04-08,elizbeth.martinez,Home Office,otro
2025-05-08,elizbeth.martinez,Home Office,otro
2025-05-09,elizbeth.martinez,Home Office,otro
2025-04-10,elizbeth.martinez,Home Office,otro
2025-06-10,elizbeth.martinez,Home Office,otro
2025-02-11,elizbeth.martinez,Home Office,otro
2025-03-11,elizbeth.martinez,Home Office,otro
2025-04-11,elizbeth.martinez,Home Office,otro
2025-06-12,elizbeth.martinez,Home Office,otro
2025-02-13,elizbeth.martinez,Home Office,otro
2025-03-13,elizbeth.martinez,Home Office,otro
2025-06-13,elizbeth.martinez,Home Office,otro
2025-02-14,elizbeth.martinez,Home Office,otro
2025-03-14,elizbeth.martinez,Home Office,otro
2025-05-15,elizbeth.martinez,Home Office,otro
2025-01-16,elizbeth.martinez,Home Office,otro
2025-05-16,elizbeth.martinez,Home Office,otro
2025-01-17,elizbeth.martinez,Home Office,otro
2025-04-17,elizbeth.martinez,Home Office,otro
2025-04-18,elizbeth.martinez,Home Office,otro
2025-06-19,elizbeth.martinez,Home Office,otro
2025-02-20,elizbeth.martinez,Home Office,otro
2025-03-20,elizbeth.martinez,Home Office,otro
2025-06-20,elizbeth.martinez,Home Office,otro
2025-01-21,elizbeth.martinez,Home Office,otro
2025-02-21,elizbeth.martinez,Home Office,otro
2025-03-21,elizbeth.martinez,Home Office,otro
2025-04-22,elizbeth.martinez,Home Office,otro
2025-05-22,elizbeth.martinez,Home Office,otro
2025-01-23,elizbeth.martinez,Home Office,otro
2025-05-23,elizbeth.martinez,Home Office,otro
2025-01-24,elizbeth.martinez,Home Office,otro
2025-04-24,elizbeth.martinez,Home Office,otro
